Time（h）,TSB-only,TSB-only,TSB-only,Co_cultivation,Co_cultivation,Co_cultivation
0,0,0,0,0,0,0
36,0.02,0.02,0.04,0.05,0.08,0.1
72,0.08,0.05,0.08,0.23,0.31,0.21
108,0.1,0.08,0.12,0.28,0.38,0.26
