Control,R10723+,R10727+
9.5,9.1,7.2
7.8,7.7,7.5
7.7,6.8,6.5
6.8,7.5,9.4
8.5,7,9
8.9,5.7,6.5
7.8,7.8,4.5
8.3,6.1,9.3
6.1,8.3,7
6.6,8.2,6
9.3,8.5,6.5
8.5,5.3,5.5
7.8,8.5,
6.6,8.8,
6.3,9.5,
6.8,6,
7.9,7.3,
8.3,7.8,
