,Co_cultivation,TSB-only
Afipia,10,0
Pseudolabrys,9,0
Pseudomonas,38,37
Bosea,17,3
Burkholderiaceae,11,19
Allorhizobium,8,4
Bradyrhizobium,5,3
Ensifer,3,3
Cupriavidus,2,5
